 Query Name,Date and Time,Count
chalo Hospital,"05:12 PM,2021-09-02",1
hello Arsenal,"09:19 PM,2021-09-05",3
chemistry,"08:26 PM,2021-09-05",1
show me history,"08:27 PM,2021-09-05",1
show me history Arsenal,"08:29 PM,2021-09-05",1
can you show me Stri,"09:03 PM,2021-09-05",1
show me history optional,"09:03 PM,2021-09-05",1
no thanks,"08:58 PM,2021-11-18",2
can you show me history,"09:20 PM,2021-09-05",1
goodbye Arsenal,"05:42 PM,2021-09-11",1
play some music,"05:43 PM,2021-09-11",1
play 2002 on YouTube,"05:43 PM,2021-09-11",1
no thanks Jarvis,"05:44 PM,2021-09-11",1
set alarm for 6 7 p.m.,"06:06 PM,2021-09-11",1
set alarm to 6:10 p.m.,"06:08 PM,2021-09-11",2
set alarm,"06:08 PM,2021-09-11",1
set alarm to 6:30 p.m.,"06:09 PM,2021-09-11",1
personal tennis check my location,"08:54 PM,2021-11-18",1
not now thank you Arsenal you can leave now,"08:55 PM,2021-11-18",1
no thanks you can leave now,"08:55 PM,2021-11-18",1
show me last queries for show me 3,"08:56 PM,2021-11-18",1
show Stri Arsenal,"08:57 PM,2021-11-18",1
can you show me history and can you show me my history,"08:57 PM,2021-11-18",1
show me police trip,"08:58 PM,2021-11-18",1
